Date,Open,Close,High,Low,Volume
2018-01-22,184.98,184.02,185.04,181.68,16016347
2018-01-23,185.28,192.28,192.40,183.54,31305926
2018-01-24,194.71,195.53,198.86,192.40,34497260
2018-01-25,196.34,198.33,199.59,194.10,23421605
2018-01-26,200.33,205.22,205.23,199.21,23768628
2018-01-29,204.83,203.01,205.69,201.82,21908591
2018-01-30,198.68,199.66,202.54,196.49,23377519
2018-01-31,202.82,204.29,206.20,202.80,26982494
2018-02-01,192.75,192.22,199.49,191.14,52628863
2018-02-02,194.79,187.31,195.68,186.80,32233916
2018-02-05,183.70,180.53,190.47,179.90,31083967
2018-02-06,174.72,185.17,185.59,174.17,35804470
2018-02-07,183.50,180.30,186.83,180.30,19672104
2018-02-08,182.27,173.70,183.10,171.39,32051274
2018-02-09,175.12,176.67,177.62,168.88,28049543
2018-02-12,180.44,177.44,180.79,175.09,18280259
2018-02-13,177.42,179.25,182.15,177.00,15506955
2018-02-14,179.22,186.76,186.93,178.90,21047363
2018-02-15,189.25,187.45,189.56,184.43,14361054
2018-02-16,186.75,183.68,188.27,183.54,16114051
2018-02-20,183.67,187.19,188.83,183.00,14854901
2018-02-21,189.37,188.82,193.17,188.46,22071585
2018-02-22,190.20,188.75,190.74,187.77,12282843
2018-02-23,190.18,193.29,193.41,189.95,16937275
2018-02-26,194.46,194.19,195.15,190.65,19463072
2018-02-27,192.59,188.26,193.57,187.21,23218450
2018-02-28,187.25,186.14,188.24,185.00,19367576
2018-03-01,186.18,181.99,187.48,180.05,17286309
2018-03-02,178.01,179.76,180.23,175.45,18909073
2018-03-05,179.41,181.60,181.95,177.07,15656661
2018-03-06,185.19,187.37,188.01,184.82,17856088
2018-03-07,184.37,189.05,189.07,184.32,13728910
2018-03-08,189.05,187.18,190.23,186.57,14331400
2018-03-09,189.64,190.55,190.70,188.01,14208356
2018-03-12,192.30,192.74,194.40,190.90,17826186
2018-03-13,193.88,188.41,194.25,187.39,14826665
2018-03-14,190.29,192.56,193.63,190.22,20032271
2018-03-15,198.44,199.06,201.50,196.52,33626797
2018-03-16,198.40,200.28,200.38,197.26,26948659
2018-03-19,198.00,194.53,198.43,192.80,19681421
2018-03-20,194.95,198.95,199.21,194.54,11952024
2018-03-21,198.80,195.30,198.88,194.57,12047301
